name,camera,display,price,processor,rating,rom
Apple iPhone 7 Plus (Rose Gold| 256 GB),12MP + 12MP | 7MP Front Camera,13.97 cm (5.5 inch) Retina HD Display,"64,900",Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,4.4,256 GB ROM 
Apple iPhone XS (Space Grey| 256 GB),12MP + 12MP | 7MP Front Camera,14.73 cm (5.8 inch) Super Retina HD Display,"1,13,490",A12 Bionic Chip Processor,4.6,256 GB ROM 
Apple iPhone XS Max (Gold| 64 GB),12MP + 12MP | 7MP Front Camera,16.51 cm (6.5 inch) Super Retina HD Display,"1,09,900",A12 Bionic Chip Processor,4.7,64 GB ROM 
Apple iPhone XR (Black| 64 GB),12MP Rear Camera | 7MP Front Camera,15.49 cm (6.1 inch) Display,"73,999",A12 Bionic Chip Processor,4.6,64 GB ROM 
Apple iPhone 7 (Jet Black| 128 GB),12MP Rear Camera | 7MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"55,555",Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,4.5,128 GB ROM 
Apple iPhone XR (Yellow| 64 GB),12MP Rear Camera | 7MP Front Camera,15.49 cm (6.1 inch) Display,"75,999",A12 Bionic Chip Processor,4.6,64 GB ROM 
Apple iPhone 7 Plus (Gold| 32 GB),12MP + 12MP | 7MP Front Camera,13.97 cm (5.5 inch) Retina HD Display,"52,490",Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,4.6,32 GB ROM 
Apple iPhone X (Space Gray| 64 GB),12MP + 12MP | 7MP Front Camera,14.73 cm (5.8 inch) Super Retina HD Display,"84,990","A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",4.6,64 GB ROM 
Apple iPhone XR ((PRODUCT)RED| 64 GB),12MP Rear Camera | 7MP Front Camera,15.49 cm (6.1 inch) Display,"75,999",A12 Bionic Chip Processor,4.6,64 GB ROM 
Apple iPhone XS (Silver| 256 GB),12MP + 12MP | 7MP Front Camera,14.73 cm (5.8 inch) Super Retina HD Display,"1,12,800",A12 Bionic Chip Processor,4.6,256 GB ROM 
Apple iPhone 7 (Black| 128 GB),12MP Rear Camera | 7MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"53,500",Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,4.6,128 GB ROM 
Apple iPhone XR (Blue| 64 GB),12MP Rear Camera | 7MP Front Camera,15.49 cm (6.1 inch) Display,"75,999",A12 Bionic Chip Processor,4.6,64 GB ROM 
Apple iPhone 7 Plus (Rose Gold| 128 GB),12MP + 12MP | 7MP Front Camera,13.97 cm (5.5 inch) Retina HD Display,"61,990",Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,4.6,128 GB ROM 
Apple iPhone XS (Gold| 64 GB),12MP + 12MP | 7MP Front Camera,14.73 cm (5.8 inch) Super Retina HD Display,"98,900",A12 Bionic Chip Processor,4.6,64 GB ROM 
Apple iPhone 7 (Gold| 128 GB),12MP Rear Camera | 7MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"52,999",Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,4.5,128 GB ROM 
Apple iPhone 7 Plus (Gold| 128 GB),12MP + 12MP | 7MP Front Camera,13.97 cm (5.5 inch) Retina HD Display,"60,899",Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,4.5,128 GB ROM 
